순위,관광지명,주소,latitude,longitude,분류,외지인 검색 수
1,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,33.2501737,126.5634281,시장,1054841
2,성산일출봉,제주 서귀포시 일출로 284-12,33.4621008,126.9362017,자연경관(산),770605
3,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,33.30601,126.2901309,전시시설,512196
4,섭지코지,제주 서귀포시 섭지코지로 107-0,33.4300919,126.9272996,기타관광,488655
5,천지연폭포,제주 서귀포시 서문서로 1-1,33.2479567,126.5556552,자연경관(산),368314
6,카멜리아힐,제주 서귀포시 병악로 166-0,33.2897826,126.3698049,테마공원,349017
7,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,33.4340579,126.9270922,테마공원,348601
8,쇠소깍,제주 서귀포시 쇠소깍로 128-0,33.2522494,126.6230068,기타관광,338054
9,이마트서귀포점,제주 서귀포시 일주동로 9209-0,33.24828,126.5088229,대형마트,333223
10,주상절리대,제주 서귀포시 이어도로 36-30,33.2380161,126.4263264,기타관광,326730
11,용머리해안,제주 서귀포시 사계남로216번길 24-32,33.2333579,126.3133497,기타관광,278793
12,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,33.2471631,126.4079553,호텔,272191
13,정방폭포,제주 서귀포시 칠십리로214번길 37,33.2447334,126.5731658,자연경관(산),243411
14,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,33.4725684,126.9323378,교통시설,229541
15,성산항,제주 서귀포시 성산읍 성산등용로 129-21,33.4725684,126.9323378,자연경관(하천/해양),227037
16,소노캄제주,제주 서귀포시 일주동로 6347-17,33.3050378,126.7919081,콘도미니엄,227024
17,우도도항선선착장,제주 서귀포시 성산등용로 130-21,33.4725684,126.9323378,교통시설,221481
18,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,33.3071802,126.3174379,콘도미니엄,218051
19,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,33.2482702,126.4104128,호텔,217605
20,휘닉스제주,제주 서귀포시 섭지코지로 107-0,33.4300919,126.9272996,콘도미니엄,203696
21,해비치호텔,제주 서귀포시 민속해안로 537-0,33.3233757,126.8447677,호텔,201021
22,빛의벙커,제주 서귀포시 성산읍 서성일로1168번길 89-17 A동,33.4398485,126.8990028,전시시설,192279
23,광치기해변,제주 서귀포시 성산읍 고성리 224-33,33.4523155,126.923895,자연경관(하천/해양),185234
24,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,33.3071802,126.3174379,콘도미니엄,182572
